Date,stocks,gold,bonds,property
2011-12-01,124.9700,169.6300,108.8400,55.4700
2011-12-02,124.8600,169.8200,109.1200,55.4200
2011-12-05,126.2200,167.3200,109.2400,55.8900
2011-12-06,126.2600,168.1800,109.1400,55.8000
2011-12-07,126.7300,169.4000,109.3400,56.4100
2011-12-08,123.9500,165.9800,109.4500,55.1300
2011-12-09,126.0500,166.4000,109.3900,56.3400
2011-12-12,124.2100,161.9900,109.4200,55.3400
2011-12-13,123.0500,158.4500,109.6400,54.6900
2011-12-14,121.7400,152.8900,109.9100,55.0100
2011-12-15,122.1800,152.3300,109.6800,55.9300
2011-12-16,121.5900,155.2300,110.0500,56.5500
2011-12-19,120.2900,154.8700,110.1600,56.0600
2011-12-20,123.9300,156.9800,110.0100,57.7600
2011-12-21,124.1700,157.1600,109.7300,57.7400
2011-12-22,125.2700,156.0400,109.9000,58.5700
2011-12-23,126.3900,156.3100,109.7700,58.1800
2011-12-27,126.4900,154.9100,109.9400,58.4400
2011-12-28,124.8300,151.0300,110.1300,57.7400
2011-12-29,126.1200,150.3400,110.3900,58.2500
2011-12-30,125.5000,151.9900,110.2500,58.0000
2012-01-03,127.5000,155.9200,110.0300,58.4900
2012-01-04,127.7000,156.7100,109.8800,57.4900
2012-01-05,128.0400,157.7800,110.0300,58.0300
2012-01-06,127.7100,157.2000,110.1200,57.8400
2012-01-09,128.0200,156.5000,110.0300,57.6400
2012-01-10,129.1300,158.6400,110.0000,58.2800
2012-01-11,129.2000,159.6700,110.3900,58.6900
2012-01-12,129.5100,160.3800,110.3000,58.2600
2012-01-13,128.8400,159.2600,110.5500,58.3900
2012-01-17,129.3400,160.5000,110.5800,58.8700
2012-01-18,130.7700,161.6000,110.4400,59.2800
2012-01-19,131.4600,161.2200,110.2600,59.5100
2012-01-20,131.9500,162.0700,109.9800,59.8800
2012-01-23,131.6100,163.1600,109.8900,60.1700
2012-01-24,131.4600,162.0100,109.9800,60.6300
2012-01-25,132.5600,166.4200,110.1400,61.4100
